orderid,first_x,first_y,last_x,last_y,start_loc,end_loc
1647052,121.428,31.246,121.43,31.248,上海市普陀区武宁路229号,上海市普陀区凯旋北路
1491005,121.45200000000001,31.178,121.45700000000001,31.184,上海市徐汇区龙水北路898号,上海市徐汇区龙华路2577号-72号楼
1179830,121.41,31.14,121.439,31.17,上海市闵行区莲花路23号,上海市徐汇区冠生园路28
1713940,121.381,31.158,121.385,31.156999999999996,上海市闵行区星村路3-5号,上海市闵行区星兰路21号
1226298,121.32,31.241,121.322,31.24,上海市嘉定区金园一路,上海市嘉定区爱特路168弄
318569,121.42,31.24,121.44200000000001,31.224,上海市普陀区凯旋北路,上海市长宁区延安西路548弄-80号
50842,121.387,31.269000000000002,121.406,31.283,上海市普陀区绥德路94号,上海市普陀区真北路3482号
543758,121.47,31.3,121.471,31.303,上海市虹口区汶水东路957-、959号,上海市虹口区车站北路727号
448369,121.384,31.31,121.40799999999999,31.314,上海市宝山区丰翔路128弄,上海市宝山区环镇北路795号
104789,121.448,31.253,121.459,31.250999999999998,上海市普陀区江宁路1330-1,上海市闸北区长安路1001号-20楼
149127,121.281,31.221,121.29700000000001,31.205,上海市闵行区联友路,上海市青浦区诸光路
1448295,121.47200000000001,31.302,121.476,31.3,上海市虹口区车站北路727弄-28号,上海市虹口区凉城路589弄-17号
784181,121.397,31.218000000000004,121.399,31.221,上海市长宁区天山路461弄-56号,上海市长宁区水城路885号
1730184,121.31700000000001,31.311,121.32600000000001,31.3,上海市嘉定区瑞林路,上海市嘉定区沪宜公路2199弄9-10号
1074623,121.369,31.176,121.37200000000001,31.169,上海市闵行区S20(外环高速),上海市闵行区S20(外环高速)
389030,121.419,31.191,121.426,31.188000000000002,上海市闵行区桂林路900,上海市徐汇区钦州北路
1460922,121.459,31.319000000000003,121.46,31.32,上海市闸北区平顺路218号,上海市闸北区汾西路700弄-1号
639462,121.507,31.272,121.51100000000001,31.276,上海市虹口区瑞虹路409号,上海市虹口区大连路
893415,121.47399999999999,31.221999999999998,121.478,31.211,上海市黄浦区香山路7号,上海市黄浦区徐家汇路585号-2楼
720200,121.315,31.238000000000003,121.322,31.259,上海市嘉定区爱特路285弄-16号,上海市嘉定区金园一路766号
86670,121.291,31.194000000000003,121.296,31.203000000000003,上海市青浦区崧泽大道,上海市青浦区天山西路
1044757,121.37100000000001,31.217,121.37700000000001,31.215999999999998,上海市长宁区平塘路535号,上海市长宁区剑河路
588996,121.479,31.340999999999998,121.48299999999999,31.346999999999998,上海市宝山区通南路,上海市宝山区郁江巷路
1065154,121.426,31.241,121.447,31.234,上海市普陀区宁夏路236弄1-5号,上海市静安区延平路83
1626671,121.48200000000001,31.335,121.515,31.302,上海市宝山区新二路1088弄1-83号,上海市杨浦区国达路74号
176788,121.42200000000001,31.153000000000002,121.428,31.155,上海市徐汇区江安路58弄,上海市徐汇区沪闵路辅路
417291,121.48700000000001,31.204,121.49600000000001,31.199,上海市黄浦区中山南一路727号3楼,上海市黄浦区西藏南路隧道
1576809,121.509,31.296,121.51100000000001,31.295,上海市杨浦区政修路270号,上海市杨浦区国权后路19号-22楼
931177,121.508,31.271,121.514,31.274,上海市虹口区虹关路88号,上海市杨浦区飞虹路391弄6号
1037885,121.38799999999999,31.186,121.40299999999999,31.164,上海市闵行区合川路3136,上海市闵行区东兰路320号-a-35号
1222848,121.425,31.293000000000003,121.43700000000001,31.296999999999997,上海市宝山区沪太路1800号,上海市闸北区原平路689弄-3号-甲
35780,121.432,31.33,121.441,31.331,上海市宝山区共康路957弄-186号,上海市宝山区长临路976号
1538435,121.464,31.279,121.476,31.283,上海市闸北区广延路25弄,上海市虹口区新同心路
320363,121.405,31.294,121.415,31.295,上海市普陀区真大路302号,上海市宝山区中环沪嘉立交桥
552411,121.344,31.289,121.353,31.285,上海市普陀区金迎路358号,上海市普陀区真沃路
1782316,121.493,31.261,121.50299999999999,31.263,上海市虹口区衡水路99号,上海市虹口区通州路269号
799786,121.473,31.215,121.47399999999999,31.215999999999998,上海市黄浦区瑞金二路200弄-2号,上海市黄浦区建德路9号
569344,121.43799999999999,31.166,121.443,31.17,上海市徐汇区钦州路73号,上海市徐汇区宾阳路38号
617000,121.365,31.249000000000002,121.375,31.246,上海市嘉定区新郁路180号,上海市普陀区祁连山南路1004号
133682,121.48100000000001,31.228,121.495,31.22,上海市黄浦区兴安路79号,上海市黄浦区黄家阙路147
437687,121.49799999999999,31.234,121.51100000000001,31.232,上海市黄浦区福民街72,上海市浦东新区东复线
931718,121.443,31.223000000000003,121.448,31.226999999999997,上海市长宁区延安西路549号,上海市静安区南京西路1978号
783375,121.39399999999999,31.191999999999997,121.414,31.199,上海市闵行区虹梅路3211-4号-临,上海市长宁区黄金城道453号
1543647,121.484,31.249000000000002,121.485,31.255,上海市闸北区天潼路839号,上海市闸北区山西北路541弄2号
654214,121.435,31.163,121.441,31.173000000000002,上海市徐汇区沪闵路9024号,上海市徐汇区沪闵路9585
617313,121.48700000000001,31.281999999999996,121.51700000000001,31.274,上海市虹口区西江湾路708号,上海市杨浦区辽源西路137号
1300121,121.477,31.27,121.49,31.261999999999997,上海市闸北区宝昌路738弄,上海市虹口区乍浦路480号
1652088,121.311,31.14,121.318,31.136999999999997,上海市松江区沪松公路1708号,上海市松江区金南路
955533,121.428,31.276,121.439,31.281999999999996,上海市宝山区南华苑路111,上海市闸北区灵石路896弄-14号
1113442,121.49,31.336,121.501,31.336,上海市宝山区一二八纪念东路,上海市杨浦区大陵河路
900365,121.355,31.165,121.44,31.135,上海市闵行区吴宝路169号,上海市徐汇区莘朱东路
1123079,121.37,31.180999999999997,121.376,31.176,上海市闵行区紫藤路315号,上海市闵行区吴中路1629号
1195232,121.462,31.243000000000002,121.46600000000001,31.241999999999997,上海市静安区泰兴路625弄-1-14号,上海市静安区石门二路321号
1003961,121.335,31.268,121.344,31.261999999999997,上海市嘉定区曹安公路辅路,上海市嘉定区靖远路510弄-27号
1457104,121.531,31.28,121.54299999999999,31.276,上海市杨浦区凤城路1号,上海市杨浦区临青路681号
921262,121.461,31.198,121.464,31.199,上海市徐汇区东安路273号,上海市徐汇区枫林路335号
